zi,longitudine,latitudine,adancime epicentru,tip placa,replici,magnitudine ultimul,magnitudine
13.0,34.91834356803552,52.986564897325934,98.6466808640107,transformare,2.0,6.5,6.2
16.0,,86.64932878562182,66.92187098893737,convergenta,8.0,1.7,5.4
22.0,53.68424376699229,1.5184506033035727,80.77117029816917,convergenta,4.0,3.6,4.5
1.0,155.26066496113708,62.68341876313051,93.92971187624761,transformare,1.0,4.4,6.9
4.0,,73.23107847316771,75.33444219574103,,6.0,5.2,4.3
28.0,62.75973558930618,45.88264769594257,55.75689250882159,convergenta,9.0,3.8,4.0
4.0,152.7899446087938,30.056838263712823,90.9369542173645,convergenta,8.0,3.1,5.1
8.0,144.878120739763,71.17561469046645,67.66068835294003,convergenta,6.0,6.8,3.3
10.0,179.7038778778685,8.751863306918219,99.15334344459194,convergenta,7.0,,5.2
20.0,152.51538390007227,39.783207395693275,94.1912723222279,transformare,9.0,2.2,7.7
22.0,74.60217626502234,46.79571371137544,92.67246666744786,convergenta,4.0,4.6,
19.0,22.949798718597926,62.456076984109274,67.81265887689497,convergenta,7.0,7.6,4.3
5.0,151.31536347608602,8.179715882916852,87.85648889045328,transformare,1.0,,5.4
24.0,10.756425232870917,20.498355138407486,99.31645315007944,transformare,6.0,3.3,7.4
7.0,63.04881732207375,36.927140642111304,76.31608059756657,transformare,,3.5,5.9
25.0,165.55283653882927,56.09652057181176,73.53660774776158,convergenta,4.0,8.9,3.2
25.0,172.93796522011812,79.82647030956757,50.73329104860354,divergenta,1.0,2.1,5.0
13.0,115.30162683381931,55.69435514172388,85.01018843674682,transformare,4.0,2.1,7.1
27.0,123.95669705706844,12.011532384144099,92.92387843009271,convergenta,3.0,2.2,4.9
2.0,7.641807970594048,88.25221195085541,62.3728593040915,transformare,,3.9,6.0
7.0,92.60646139611862,78.46071612799436,65.75122885573285,transformare,2.0,7.2,5.5
8.0,,45.24486850307916,75.03385106630782,divergenta,2.0,8.2,4.1
24.0,,83.01131836169696,53.60400786807584,convergenta,8.0,8.5,3.2
15.0,12.34743025569918,48.72427143814222,54.48212380493685,transformare,9.0,3.4,6.4
